指数代码,指数简称,指数@收盘价:不复权[20251120],指数@涨跌幅:前复权[20251120],指数@同花顺概念指数,指数@成交额[20251120],指数@成交额[20251119],指数@主力资金流向[20251118],指数@区间dde大单净额[20251118-20251120],market_code,code
886102.TI,中国AI 50,1768.679,-0.5600,同花顺概念指数,85037536000.000,79606321000,3010421000,-680956500,48,886102
886099.TI,AI智能体,1443.464,-0.7422,同花顺概念指数,141102640000.000,156208660000,4990604000,-12266086300,48,886099
886098.TI,小红书概念,1507.123,-1.7892,同花顺概念指数,26823819000.000,38453327000,3459684300,-1672611900,48,886098
886096.TI,同花顺新质50,2225.343,-1.1190,同花顺概念指数,84952762000.000,75440790000,443697200,-3207961000,48,886096
886094.TI,华为盘古,1146.755,-0.3253,同花顺概念指数,13208319700.000,12821724100,870285370,252919530,48,886094
886090.TI,智谱AI,1523.471,-0.8258,同花顺概念指数,37636601000.000,42236134000,1939164200,-2465327600,48,886090
886084.TI,光纤概念,2185.520,-0.5389,同花顺概念指数,50049810000.000,50359872000,311845600,67793800,48,886084
886080.TI,财税数字化,1976.278,-0.7415,同花顺概念指数,23995166000.000,22777924000,894567100,-2124316710,48,886080
886074.TI,AI语料,1298.351,-1.4824,同花顺概念指数,24048457000.000,30981768000,2051140600,-1892221500,48,886074
886068.TI,Sora概念(文生视频),2331.995,-0.9111,同花顺概念指数,21849560000.000,30706760000,1978620100,-1153326100,48,886068
886062.TI,多模态AI,1318.521,-0.6494,同花顺概念指数,66557008000.000,74885728000,3273427200,-5188638200,48,886062
886060.TI,短剧游戏,1316.019,-1.4400,同花顺概念指数,28013194000.000,37977412000,1704841000,-3410132000,48,886060
886058.TI,华为昇腾,1650.017,-0.2597,同花顺概念指数,39136913000.000,40273158000,670035600,-2499139900,48,886058
886055.TI,星闪概念,1503.933,-0.3369,同花顺概念指数,29336652000.000,28577506000,184920300,-3317356040,48,886055
886054.TI,光刻机,1714.340,-0.5314,同花顺概念指数,20563913000.000,21340152000,284822480,538465180,48,886054
886049.TI,空间计算,1241.432,-0.1065,同花顺概念指数,12040803000.000,11744537300,52315520,-565034330,48,886049
886041.TI,数据要素,1304.599,-0.5023,同花顺概念指数,129489640000.000,136160190000,930103200,-9410429300,48,886041
886039.TI,ERP概念,1435.068,-1.2427,同花顺概念指数,18199392000.000,19540882000,808333200,-679119940,48,886039
886033.TI,共封装光学(CPO),3266.042,-0.1113,同花顺概念指数,146965600000.000,136385030000,1776791700,3056468800,48,886033
886031.TI,ChatGPT概念,1963.208,-0.5605,同花顺概念指数,66517926000.000,79594220000,5543563100,-3928203000,48,886031
886023.TI,数据确权,1658.987,0.0467,同花顺概念指数,19065301000.000,20745209000,259584000,-1102278590,48,886023
886019.TI,AIGC概念,2164.803,-0.7151,同花顺概念指数,117035835000.000,133104540000,6620883500,-9620134400,48,886019
886017.TI,Web3.0,2021.762,-0.5578,同花顺概念指数,34447161000.000,43646098000,1651188500,-2739806300,48,886017
885998.TI,F5G概念,2886.063,0.5531,同花顺概念指数,41879306000.000,40838750000,430368600,978762500,48,885998
885981.TI,家庭医生,1359.897,-1.3373,同花顺概念指数,8888208300.000,12611035500,536958930,-1064266410,48,885981
