,code,股票简称,最新价,最新涨跌幅,涨停,几天几板,a股市值(不含限售股),首次涨停时间,最终涨停时间,连续涨停天数,涨停原因类别,涨停封单量,涨停封单额,涨停封单量占成交量比,涨停开板次数,涨停日期
0,600421,*ST华嵘,8.19,5,涨停,首板涨停,1601964000.0, 14:52:14, 14:52:14,1,AI概念+风电模具+营收增长+ST板块,693000,5675670.0,9.096637000866346,0,20251204
1,002084,海鸥住工,5.17,10,涨停,首板涨停,3332760065.14, 09:30:21, 10:38:57,1,海峡两岸+回购+装配式厨卫+灯塔工厂+一带一路,9416937,48685564.29,5.242098827500478,2,20251204
2,002632,道明光学,16.56,10.033222591,涨停,5天5板,9636032342.16, 09:30:21, 14:55:49,5,石墨烯散热膜+反光材料+铝塑膜,1329000,22008240.0,0.6896550865222901,7,20251204
3,600467,好当家,2.92,10.188679245,涨停,首板涨停,4266103367.68, 13:05:18, 13:22:47,1,海参+水产养殖+预制菜+海洋经济,9939240,29022580.8,3.784224819940506,1,20251204
4,003016,欣贺股份,10.49,9.958071279,涨停,首板涨停,4310161012.58, 14:01:24, 14:48:41,1,海峡两岸+高端女装+流感+业绩回暖,5069200,53175908.0,9.271285585590725,4,20251204
5,000692,惠天热电,4.14,10.106382979,涨停,首板涨停,2205928520.64, 09:30:06, 09:30:06,1,供热+风电+减亏+沈阳国资,46562427,192768447.77999997,198.5369789747251,0,20251204
6,600255,鑫科材料,3.95,10.027855153,涨停,首板涨停,7134280472.25, 09:51:43, 14:37:22,1,铜缆高速连接+铜合金板带+国企,4248731,16782487.45,1.6095517065063447,4,20251204
7,600707,彩虹股份,6.36,10.034602076,涨停,首板涨停,22817579495.52, 10:45:08, 11:16:11,1,G8.5+基板玻璃+液晶面板+国企改革,10122042,64376187.120000005,5.745619752262074,1,20251204
8,002565,顺灏股份,10.68,9.989701339,涨停,4天4板,11320201086.96, 09:41:36, 10:13:58,4,商业航天+太空算力+环保纸+工业大麻,16308400,174173712.0,6.527309544459162,1,20251204
9,002353,杰瑞股份,65.91,9.996662216,涨停,4天3板,45691704789.9, 09:30:21, 09:31:06,1,北美数据中心+燃气轮机+油气装备+锂电池回收,2802341,184702295.31,19.317638180133187,1,20251204
10,300391,*ST长药,2.57,20.093457944,涨停,首板涨停,900363807.84, 14:05:39, 14:34:52,1,中药大健康+预重整+ST板块,1372100,3526297.0,1.9945725414883735,2,20251204
11,603906,龙蟠科技,23.41,10.009398496,涨停,首板涨停,13228497119.23, 09:30:36, 09:53:28,1,欣旺达长单+磷酸铁锂+涨价预期+固态电池,6459082,151207109.62,13.199259117968817,4,20251204
12,002631,德尔未来,5.71,10.019267823,涨停,首板涨停,4531298129.92, 09:33:51, 09:36:51,1,石墨烯+家居+C2M,12119100,69200061.0,30.196542513199198,1,20251204
13,603327,福蓉科技,13.3,10.008271299,涨停,3天3板,13266665983.9, 09:31:06, 14:14:27,3,AI手机+AI眼镜+铝结构件+国企改革,5510964,73295821.2,3.285860654271539,4,20251204
14,603711,香飘飘,15.73,10,涨停,首板涨停,6494509593.0, 13:23:17, 13:23:17,1,线下门店开业+孙颖莎代言+即饮增长,5001800,78678314.0,29.20665662786382,0,20251204
15,603696,安记食品,16.09,9.97949419,涨停,2天2板,3784368000.0, 09:30:00, 14:21:30,2,调味品+海峡两岸+福建自贸区,4072900,65532961.0,6.6621880222597465,1,20251204
16,002836,新宏泽,15.15,10.021786492,涨停,首板涨停,3490560000.0, 11:11:22, 11:11:22,1,烟标+客户拓展+产线升级+三季报营收增长,5865659,88864733.85000001,43.439309143010206,0,20251204
17,600408,安泰集团,5.59,10.039370079,涨停,2天2板,5628012000.0, 10:36:27, 10:36:27,2,焦炭+型钢+减亏+循环经济,11408700,63774633.0,4.262968355006951,0,20251204
18,002300,太阳电缆,8.56,10.025706941,涨停,2天2板,6182632980.48, 09:30:21, 09:30:21,2,福建算力政策+海底电缆+海峡两岸+军工,25194359,215663713.04000002,63.84011979898834,0,20251204
